Country,Variable,Value
Myanmar,Acidity,7.411578947
Myanmar,Body,7.253157895
Myanmar,Balance,7.086842105
Myanmar,Uniformity,10
Myanmar,Clean,10
Myanmar,Sweetness,10
Myanmar,Cup Points,7.153684211
Nicaragua,Aroma,7.306004603
Nicaragua,Flavor,7.226669314
Nicaragua,Aftertaste,7.079147974
Nicaragua,Acidity,7.15377674
Nicaragua,Body,7.274390559
Nicaragua,Balance,7.090538404
Nicaragua,Uniformity,9.496586225
Nicaragua,Clean,9.458265942
Nicaragua,Sweetness,9.535487119
Nicaragua,Cup Points,7.123231497
Panama,Aroma,7.672874494
Panama,Flavor,7.604048583
Panama,Aftertaste,7.56291498
Panama,Acidity,7.654898785
Panama,Body,7.549433198
Panama,Balance,7.888663968
Panama,Uniformity,10
Panama,Clean,10
Panama,Sweetness,10
Panama,Cup Points,7.578137652
Papua New Guinea,Aroma,8.33
Papua New Guinea,Flavor,8.42
Papua New Guinea,Aftertaste,7.83
Papua New Guinea,Acidity,8.33
Papua New Guinea,Body,8
Papua New Guinea,Balance,8.25
Papua New Guinea,Uniformity,9.33
Papua New Guinea,Clean,9.33
Papua New Guinea,Sweetness,10
Papua New Guinea,Cup Points,7.92
Peru,Aroma,7.853963088
Peru,Flavor,7.519551834
Peru,Aftertaste,7.441740633
Peru,Acidity,7.585293668
Peru,Body,7.907463547
Peru,Balance,7.625856172
Peru,Uniformity,9.367361216
Peru,Clean,9.647232051
Peru,Sweetness,9.697260704
Peru,Cup Points,7.438106461
Philippines,Aroma,7.578416988
Philippines,Flavor,7.57011583
Philippines,Aftertaste,7.66030888
Philippines,Acidity,7.569189189
Philippines,Body,7.493783784
Philippines,Balance,7.498069498
Philippines,Uniformity,9.997413127
Philippines,Clean,10
Philippines,Sweetness,9.997413127
Philippines,Cup Points,7.492316602
Rwanda,Aroma,7.83
Rwanda,Flavor,7.92
Rwanda,Aftertaste,7.75
Rwanda,Acidity,7.83
Rwanda,Body,7.75
Rwanda,Balance,7.75
Rwanda,Uniformity,9.33
Rwanda,Clean,9.33
Rwanda,Sweetness,9.33
Rwanda,Cup Points,8
Taiwan,Aroma,7.565413499
Taiwan,Flavor,7.494332758
Taiwan,Aftertaste,7.425522646
Taiwan,Acidity,7.483372359
Taiwan,Body,7.520757964
Taiwan,Balance,7.475060404
Taiwan,Uniformity,9.900345165
Taiwan,Clean,9.962498251
Taiwan,Sweetness,9.925323009
Taiwan,Cup Points,7.316010542
"Tanzania, United Republic Of",Aroma,7.537450213
"Tanzania, United Republic Of",Flavor,7.430557154
"Tanzania, United Republic Of",Aftertaste,7.408058018
"Tanzania, United Republic Of",Acidity,7.502398987
"Tanzania, United Republic Of",Body,7.488025786
"Tanzania, United Republic Of",Balance,7.452500288
"Tanzania, United Republic Of",Uniformity,10
"Tanzania, United Republic Of",Clean,10
"Tanzania, United Republic Of",Sweetness,10
"Tanzania, United Republic Of",Cup Points,7.512800737
Thailand,Aroma,7.52270191
Thailand,Flavor,7.593101242
Thailand,Aftertaste,7.598817202
Thailand,Acidity,7.673602652
Thailand,Body,7.666124265
Thailand,Balance,7.587656044
Thailand,Uniformity,9.999929697
Thailand,Clean,9.999943842
Thailand,Sweetness,9.99994342
Thailand,Cup Points,7.587982646
Uganda,Aroma,7.865624176
Uganda,Flavor,7.705052607
Uganda,Aftertaste,7.570033089
Uganda,Acidity,7.671058346
Uganda,Body,7.639340537
Uganda,Balance,7.659761135
Uganda,Uniformity,10
Uganda,Clean,10
Uganda,Sweetness,10
Uganda,Cup Points,7.720227232
United States,Aroma,7.422065079
United States,Flavor,7.582639393
United States,Aftertaste,7.253237734
United States,Acidity,7.5025312
United States,Body,7.75104472
United States,Balance,7.75105473
United States,Uniformity,10
United States,Clean,10
United States,Sweetness,10
United States,Cup Points,7.582130044
United States (Hawaii),Aroma,7.610088279
United States (Hawaii),Flavor,7.611113947
United States (Hawaii),Aftertaste,7.530704178
United States (Hawaii),Acidity,7.611230864
United States (Hawaii),Body,7.64793173
United States (Hawaii),Balance,7.642408561
United States (Hawaii),Uniformity,9.510545176
United States (Hawaii),Clean,9.479718727
United States (Hawaii),Sweetness,9.626074944
United States (Hawaii),Cup Points,7.631327361
United States (Puerto Rico),Aroma,7.647183099
United States (Puerto Rico),Flavor,7.54056338
United States (Puerto Rico),Aftertaste,7.477323944
United States (Puerto Rico),Acidity,7.599295775
United States (Puerto Rico),Body,7.663802817
United States (Puerto Rico),Balance,7.644929577
United States (Puerto Rico),Uniformity,8.985915493
United States (Puerto Rico),Clean,9.66028169
United States (Puerto Rico),Sweetness,9.839577465
United States (Puerto Rico),Cup Points,7.650704225
Vietnam,Aroma,7.459
Vietnam,Flavor,7.516
Vietnam,Aftertaste,7.366
Vietnam,Acidity,7.449
Vietnam,Body,7.634
Vietnam,Balance,7.534
Vietnam,Uniformity,9.733
Vietnam,Clean,10
Vietnam,Sweetness,10
Vietnam,Cup Points,7.768
Zambia,Aroma,7.67
Zambia,Flavor,7.08
Zambia,Aftertaste,7.42
Zambia,Acidity,7.33
Zambia,Body,7.75
Zambia,Balance,7.42
Zambia,Uniformity,10
Zambia,Clean,10
Zambia,Sweetness,10
Zambia,Cup Points,7.25
